Id,Question,Gen.contains(Man),Comment
198,What was the material used in the Ideas?,false,Incorrect Query Ontology Representation
199,What was the material used in the Impressions?,false,Incorrect Query Ontology Representation
200,What was the material used in the In Church?,null,Incorrect Stanza Parsing
201,What was the material used in the In These Troubled Times?,null,Incorrect Stanza Parsing
202,What was the material used in the In the Meadows at Windsor?,null,Incorrect Stanza Parsing
203,What was the material used in the In the Park?,null,Incorrect partial DRS
204,What was the material used in the In the Summer Sea?,null,Incorrect partial DRS
205,What was the material used in the Indian Hunting Buffalo?,true,Ok
206,What was the material used in the Irish Gentleman?,true,Ok
207,What was the material used in the Isaac Praul?,true,Ok
208,What was the material used in the Ishtar?,true,Ok
209,What was the material used in the Jack-in-the-Pulpits?,null,Incorrect Stanza Parsing
210,What was the material used in the Jane Stone?,true,Ok
211,What was the material used in the Jet Age?,true,Ok
212,What was the material used in the John Elder?,true,Ok
213,What was the material used in the Jonathan Jones Wheeler?,true,Ok
214,What was the material used in the Kate Deering Ridgely?,true,Ok
215,What was the material used in the Kermit?,true,Ok
216,What was the material used in the L' Auberge a Rome?,null,Incorrect partial DRS
217,What was the material used in the L' Etang?,true,Ok
218,What was the material used in the LYAM 3D?,false,Incorrect Query Ontology Representation
219,What was the material used in the La Gouvernante Fidele?,true,Ok
220,What was the material used in the La Natividad?,true,Ok
221,What was the material used in the Ladies of the Evening?,null,Incorrect partial DRS
222,What was the material used in the Lafayette Street?,true,Ok
223,What was the material used in the Lake Providence Grocery?,null,Incorrect Stanza Parsing
224,What was the material used in the Laokoon (Contrasting Rhythms)?,null,Incorrect partial DRS
225,What was the material used in the Lauhala?,true,Ok
226,What was the material used in the Laura at Fifteen?,null,Incorrect partial DRS
227,What was the material used in the Lawrence Barrett As Cassius?,null,Incorrect partial DRS
228,What was the material used in the Leda and the Necrophilic Swan?,null,Incorrect partial DRS
229,"What was the material used in the Les Moulins Stucky, Venice?",true,Ok
230,What was the material used in the Let's Make a Record?,null,Incorrect Stanza Parsing
231,What was the material used in the Levee Farms?,true,Ok
232,What was the material used in the Light Blue Nursery?,false,Incorrect Query Ontology Representation
233,What was the material used in the Little Peasant Girl?,null,Incorrect Stanza Parsing
234,What was the material used in the Living Inside?,null,Incorrect Stanza Parsing
235,What was the material used in the Lobelia Kalmii?,true,Ok
236,What was the material used in the Local Calm?,false,Incorrect Query Ontology Representation
237,What was the material used in the Long Light?,true,Ok
238,What was the material used in the Loulie's Hand?,null,Incorrect partial DRS
239,What was the material used in the Lounge Chair?,true,Ok
240,What was the material used in the Love Poem?,false,Incorrect Query Ontology Representation
241,What was the material used in the Maine Pump?,true,Ok
242,What was the material used in the Male Nude on a Stool?,null,Incorrect partial DRS
243,What was the material used in the Man Astraddle?,true,Ok
244,What was the material used in the Man Sketching?,false,Incorrect Query Ontology Representation
245,What was the material used in the Man on Bench in Town?,null,Incorrect partial DRS
246,What was the material used in the Man with Wheelbarrow?,null,Incorrect partial DRS
247,"What was the material used in the Man, Woman, Dog and Stag?",null,Incorrect partial DRS
248,What was the material used in the Manhattan Nocturne?,true,Ok
249,What was the material used in the Maquette for Chorale?,null,Incorrect partial DRS
250,What was the material used in the Maquette for Southern Wall?,null,Incorrect partial DRS
251,What was the material used in the Maquette for White Tornado?,null,Incorrect partial DRS
252,What was the material used in the Margaret Ethel Wall?,true,Ok
253,What was the material used in the Massimo Plates?,true,Ok
254,What was the material used in the Medic Medic?,true,Ok
255,"What was the material used in the Medicine Wheel, Wyoming?",true,Ok
256,What was the material used in the Melancholia?,true,Ok
257,What was the material used in the Member of the Schuyler Family?,null,Incorrect Stanza Parsing
258,What was the material used in the Milwaukee (Wisconsin)?,true,Ok
259,What was the material used in the Modern Steel Carving?,false,Incorrect Query Ontology Representation
260,What was the material used in the Mold of a Woman's Hand?,null,Incorrect partial DRS
261,What was the material used in the Money?,false,Incorrect Query Ontology Representation
262,What was the material used in the Month of Nights?,null,Incorrect partial DRS
263,What was the material used in the Moods?,true,Ok
264,What was the material used in the Mora Howard?,true,Ok
265,What was the material used in the Moss Pink (Phlox subulate)?,null,Incorrect partial DRS
266,What was the material used in the Mounette?,true,Ok
267,What was the material used in the Mount Orizaba?,true,Ok
268,What was the material used in the Mountain Pool?,true,Ok
269,What was the material used in the Mr. Cass Gilbert?,true,Ok
270,What was the material used in the Mr. Kafka?,true,Ok
271,What was the material used in the Mrs. Lloyd?,true,Ok
272,What was the material used in the Mt. of Temptation?,null,Incorrect partial DRS
273,What was the material used in the Musketeer?,true,Ok
274,What was the material used in the My Heavens!?,null,Incorrect partial DRS
275,What was the material used in the Nam June Paik Archive?,null,Incorrect Stanza Parsing
276,What was the material used in the Narcissa?,true,Ok
277,What was the material used in the Natalie at Seven?,null,Incorrect partial DRS
278,What was the material used in the Natural Bridge?,true,Ok
279,What was the material used in the Nest of Fifteen?,null,Incorrect partial DRS
280,What was the material used in the New World Odder?,true,Ok
281,What was the material used in the Newspaper Boy?,true,Ok
282,"What was the material used in the Niagara in Summer, from Below?",null,Incorrect partial DRS
283,What was the material used in the Night Waves?,true,Ok
284,What was the material used in the Nightbloom?,true,Ok
285,What was the material used in the Ninth Ave. Church?,true,Ok
286,What was the material used in the Nocturnal (Horizon Line)?,true,Ok
287,"What was the material used in the Nude Studies, Bell?",false,Incorrect Query Ontology Representation
288,What was the material used in the Nude and Iris?,null,Incorrect partial DRS
289,What was the material used in the Nude in Wood?,null,Incorrect partial DRS
290,What was the material used in the Nutcrackers?,true,Ok
291,What was the material used in the O-mata-ah-luta (Red Plume)?,null,Incorrect Stanza Parsing
292,What was the material used in the Obiter Dictum?,true,Ok
293,What was the material used in the Ochre and Black?,null,Incorrect partial DRS
294,"What was the material used in the Off York Island, Maine?",null,Incorrect Stanza Parsing
295,What was the material used in the Old Florence?,true,Ok
296,"What was the material used in the Old Houses, Lausanne?",true,Ok
297,What was the material used in the Old Woman in Turban?,null,Incorrect partial DRS
298,What was the material used in the On the Soda Butte Creek?,null,Incorrect Stanza Parsing
299,What was the material used in the One Horse Farm?,true,Ok
300,"What was the material used in the Orange Grove Avenue, Pasadena?",null,Incorrect Stanza Parsing
301,What was the material used in the Osage Scalp Dance?,null,Incorrect Stanza Parsing
302,What was the material used in the Out the Side Window?,null,Incorrect Stanza Parsing
303,What was the material used in the Papago Indians?,true,Ok
304,What was the material used in the Paper Bag Making Machine?,null,Incorrect Stanza Parsing
305,What was the material used in the Parking Lot?,false,Incorrect Query Ontology Representation
306,"What was the material used in the Parkville, Main Street?",null,Incorrect partial DRS
307,What was the material used in the Parlor Cabinet?,true,Ok
308,What was the material used in the Paul N. Radulich?,true,Ok
309,What was the material used in the Pegasus Departing?,false,Incorrect Query Ontology Representation
310,What was the material used in the Pioneer Family (Dressed)?,null,Incorrect partial DRS
311,What was the material used in the Pioneer Family (model for)?,null,Incorrect partial DRS
312,"What was the material used in the Pipe Dance, Assiniboine?",true,Ok
313,What was the material used in the Piro Girl?,true,Ok
314,What was the material used in the Plaza?,true,Ok
315,What was the material used in the Pollywog Decoy?,true,Ok
316,What was the material used in the Polo Players?,true,Ok
317,What was the material used in the Pont des Arts?,null,Incorrect Stanza Parsing
318,What was the material used in the Portal Gates?,true,Ok
319,What was the material used in the Portrait of Helen?,null,Incorrect partial DRS
320,What was the material used in the Portrait of Jack Greenbaum?,null,Incorrect partial DRS
321,What was the material used in the Portrait of Marguerite Zorach?,null,Incorrect partial DRS
322,What was the material used in the Portrait of Waldo Pierce?,null,Incorrect partial DRS
323,What was the material used in the Post Setter?,true,Ok
324,What was the material used in the Prairie Chicken?,true,Ok
325,What was the material used in the Princeton University?,true,Ok
326,What was the material used in the Prizefighters?,true,Ok
327,What was the material used in the Proserpine (fragment)?,true,Ok
328,What was the material used in the Provincetown Bacchanalia?,true,Ok
329,"What was the material used in the Provincetown, Mass.?",true,Ok
330,What was the material used in the Queen Elizabeth?,true,Ok
331,What was the material used in the Rain on the Square?,null,Incorrect partial DRS
332,What was the material used in the Reclining?,false,Incorrect Query Ontology Representation
333,What was the material used in the Red Fern?,true,Ok
334,What was the material used in the Red House?,true,Ok
335,What was the material used in the Rejects from the Bat Factory?,null,Incorrect partial DRS
336,"What was the material used in the Remains of Lock, Millville?",null,Incorrect partial DRS
337,What was the material used in the Rendezvous?,true,Ok
338,What was the material used in the Revolutionary Days?,true,Ok
339,"What was the material used in the Rikki and Carrie, Dining Room?",null,Incorrect Stanza Parsing
340,What was the material used in the Rising?,false,Incorrect Query Ontology Representation
341,What was the material used in the Rites of Spring?,null,Incorrect partial DRS
342,What was the material used in the Roadmaking?,true,Ok
343,What was the material used in the Roadster?,true,Ok
344,What was the material used in the Robert Broome?,true,Ok
345,What was the material used in the Robert Oliphant?,true,Ok
346,What was the material used in the Rodeo?,true,Ok
347,What was the material used in the Roger?,true,Ok
348,What was the material used in the Rolled-Edge Bowl?,null,Incorrect Stanza Parsing
349,What was the material used in the Romance Sentimentale?,true,Ok
350,What was the material used in the Romare Bearden?,true,Ok
351,What was the material used in the Rosanna?,true,Ok
352,What was the material used in the Rosebud?,true,Ok
353,"What was the material used in the Rosenwald Museum, Chicago?",true,Ok
354,What was the material used in the Round Bottom?,true,Ok
355,What was the material used in the Running Man?,true,Ok
356,What was the material used in the Russian Hill?,true,Ok
357,What was the material used in the Sage and Cactus?,null,Incorrect partial DRS
358,What was the material used in the Sailor?,true,Ok
359,What was the material used in the Samurai?,true,Ok
360,"What was the material used in the Santa Elena Canyon, Big Bend?",null,Incorrect Stanza Parsing
361,"What was the material used in the Saratoga Springs, New York?",null,Incorrect partial DRS
362,What was the material used in the Sasha?,true,Ok
363,What was the material used in the Sea Wall?,true,Ok
364,"What was the material used in the Seated Woman, Profile?",true,Ok
365,What was the material used in the Sentinels?,true,Ok
366,What was the material used in the Sewing Machine?,true,Ok
367,What was the material used in the Shearing Sheep?,true,Ok
368,What was the material used in the Shifting States: Iraq?,null,Incorrect Stanza Parsing
369,What was the material used in the Ship Steering Apparatus?,true,Ok
370,What was the material used in the Sir Guy Carelton?,true,Ok
371,What was the material used in the Sister Ella?,true,Ok
372,What was the material used in the Sitting Nude?,false,Incorrect Query Ontology Representation
373,What was the material used in the Sketch of a Dog Sleeping?,null,Incorrect partial DRS
374,What was the material used in the Slant: Chip?,true,Ok
375,What was the material used in the Slate Quarry?,true,Ok
376,What was the material used in the Small Talk?,true,Ok
377,"What was the material used in the Small Town, Main Street?",null,Incorrect partial DRS
378,What was the material used in the Smoke Rings?,true,Ok
379,What was the material used in the Soap Bubble Set?,null,Incorrect Stanza Parsing
380,What was the material used in the South of Lincoln Square?,null,Incorrect partial DRS
381,What was the material used in the Southern Monument on Column?,null,Incorrect partial DRS
382,What was the material used in the Spanish Senorita?,true,Ok
383,"What was the material used in the Spider Lake, Wisconsin?",true,Ok
384,What was the material used in the Split Encounter?,false,Incorrect Query Ontology Representation
385,What was the material used in the Squatter?,true,Ok
386,What was the material used in the Squatting Polar Bear?,false,Incorrect Query Ontology Representation
387,What was the material used in the St. Germain des Pres?,null,Incorrect Stanza Parsing
388,"What was the material used in the St. Luke's Place, New York?",null,Incorrect partial DRS
389,What was the material used in the Staircase Glacier?,true,Ok
390,What was the material used in the Standing Articulated Figure?,false,Incorrect Query Ontology Representation
391,What was the material used in the Standing Orpheus with Pegasus?,null,Incorrect partial DRS
392,What was the material used in the Stanislaus?,true,Ok
393,What was the material used in the Startled Mallard?,true,Ok
394,What was the material used in the Stepping into Shoes?,null,Incorrect partial DRS
395,What was the material used in the Still Life with Dogwood?,null,Incorrect partial DRS
396,What was the material used in the Still Life with Menu?,null,Incorrect partial DRS
397,What was the material used in the Still Life with Pineapple?,null,Incorrect partial DRS
398,"What was the material used in the Street Crowds, Tunisia?",true,Ok
399,What was the material used in the Street Fight?,false,Incorrect Query Ontology Representation
400,What was the material used in the Street in Joliet?,null,Incorrect partial DRS
401,What was the material used in the String Trio?,true,Ok
402,What was the material used in the Striped Bass?,true,Ok
403,"What was the material used in the Student Leaders, Crystal City?",null,Incorrect partial DRS
404,What was the material used in the Study for Gargoyle in Flames?,null,Incorrect partial DRS
405,What was the material used in the Study for Self-Portrait?,null,Incorrect partial DRS
406,What was the material used in the Study for the Disciple Peter?,null,Incorrect partial DRS
407,What was the material used in the Subway Bootblack?,true,Ok
408,What was the material used in the Subway?,true,Ok
409,What was the material used in the Summer Horizon?,true,Ok
410,What was the material used in the Sun and Desolation?,null,Incorrect partial DRS
411,What was the material used in the Sunflower?,true,Ok
412,What was the material used in the Supplies for Suburbia?,null,Incorrect partial DRS
413,What was the material used in the Taking Off?,null,Incorrect Stanza Parsing
414,What was the material used in the Tarflower (Befaria racemosa)?,null,Incorrect partial DRS
415,What was the material used in the Tea Bowl?,true,Ok
416,What was the material used in the Temple of Nike Apteros?,null,Incorrect partial DRS
417,What was the material used in the Ten Doors?,true,Ok
418,What was the material used in the Tension?,true,Ok
419,What was the material used in the Tents?,true,Ok
420,What was the material used in the Tepidarium?,true,Ok
421,What was the material used in the Terminal Figure of Ceres?,null,Incorrect partial DRS
422,What was the material used in the Tetuan?,true,Ok
423,What was the material used in the Texas State Championship Game?,null,Incorrect Stanza Parsing
424,What was the material used in the The American Monument?,null,Incorrect Stanza Parsing
425,What was the material used in the The Bent Tree?,null,Incorrect Stanza Parsing
426,What was the material used in the The Birdlover?,null,Incorrect Stanza Parsing
427,What was the material used in the The Black Cloud?,null,Incorrect Stanza Parsing
428,What was the material used in the The Black Flag?,null,Incorrect Stanza Parsing
429,What was the material used in the The Black Hat?,null,Incorrect Stanza Parsing
430,What was the material used in the The Caress?,null,Incorrect Stanza Parsing
431,"What was the material used in the The Certosa, Florence?",null,Incorrect Stanza Parsing
432,What was the material used in the The Cornfield?,null,Incorrect Stanza Parsing
433,What was the material used in the The Craftsman Series: Shovels?,null,Incorrect Stanza Parsing
434,What was the material used in the The Excavators?,null,Incorrect Stanza Parsing
435,What was the material used in the The Hitchhiker?,null,Incorrect Stanza Parsing
436,What was the material used in the The Hunt (Punch Bowl)?,null,Incorrect Stanza Parsing
437,What was the material used in the The Indian Ghost Dancer?,null,Incorrect Stanza Parsing
438,What was the material used in the The Kitchen?,null,Incorrect Stanza Parsing
439,"What was the material used in the The Lake of Bolsena, Italy?",null,Incorrect Stanza Parsing
440,What was the material used in the The Lily Pool?,null,Incorrect Stanza Parsing
441,What was the material used in the The Lorelei?,null,Incorrect Stanza Parsing
442,What was the material used in the The Mink Trapper?,null,Incorrect Stanza Parsing
443,What was the material used in the The Phantom?,null,Incorrect Stanza Parsing
444,What was the material used in the The Purple Dress?,null,Incorrect Stanza Parsing
445,What was the material used in the The Sauce-Pan Shop?,null,Incorrect Stanza Parsing
446,What was the material used in the The Shaded Walk?,null,Incorrect Stanza Parsing
447,What was the material used in the The Top of the World?,null,Incorrect Stanza Parsing
448,What was the material used in the The Voices of the Dunes?,null,Incorrect Stanza Parsing
449,What was the material used in the The Waltz?,null,Incorrect Stanza Parsing
450,What was the material used in the Tide Rip?,false,Incorrect Query Ontology Representation
451,What was the material used in the Tongue River Cliffs (In Camp)?,null,Incorrect partial DRS
452,What was the material used in the Towards the Light?,null,Incorrect partial DRS
453,"What was the material used in the Town Creek, Clinton, Missouri?",null,Incorrect partial DRS
454,What was the material used in the Train Peddler?,true,Ok
455,What was the material used in the Trampas Penitentes?,true,Ok
456,What was the material used in the Tree in the Wind?,null,Incorrect partial DRS
457,What was the material used in the Tricycle (Memphis)?,true,Ok
458,What was the material used in the Triple Double?,true,Ok
459,What was the material used in the Troy?,true,Ok
460,What was the material used in the Tur?,true,Ok
461,What was the material used in the Turks and Arabs?,null,Incorrect partial DRS
